,words,B,AB,MI
0,tears,5,1,13.566272512290121
1,.,3702,9,-1.0833174517799782
"2,"""

",1581,3,-1.906480047911219
3,the,2583,25,3.506168537887768
4,town,20,1,8.961102326302028
5,is,248,4,5.202665865524856
6,an,184,1,1.5890679243478203
7,idyll,4,1,14.307539344593733
8,in,869,8,3.339837554002006
9,parks,1,1,18.912709530581825
10,when,127,1,2.8206683511844712
11,bursley,41,2,8.879075242801902
12,mentions,1,1,18.912709530581825
13,its,54,1,5.661591356242481
14, ,483,1,-1.6168614180584417
15,especially,6,1,12.96061341047268
16,turnhill,8,1,12.004954251599687
17,,"",3730,9,-1.1083482447672297"
18,but,328,1,-0.33126512917428197
19,let,29,1,7.726794909152695
20,them,70,1,4.799513825022772
21,show,6,1,12.96061341047268
22,a,1350,4,-0.4261124943528378
23,whose,14,1,10.145950843314477
24,natural,5,1,13.566272512290121
25,situation,8,2,14.307539344593733
26,equals,1,2,21.21529462357587
27,equals,1,2,21.21529462357587
28,that,751,4,1.5220462543286672
29,of,1430,9,2.076496465704999
30,bursley,41,2,8.879075242801902
31,'s,464,4,3.121624723164603
32,.,3702,9,-1.0833174517799782
33,you,597,1,-2.320779508588394
34,may,41,1,6.576490149807856
35,tell,48,1,6.052858131490541
36,that,751,4,1.5220462543286672
37,in,869,8,3.339837554002006
38,spite,3,1,15.263198503466725
39,of,1430,9,2.076496465704999
40,the,2583,25,3.506168537887768
41,'s,464,4,3.121624723164603
42,vaunted,1,1,18.912709530581825
43,situation,8,2,14.307539344593733
44,nothing,60,1,5.311591299186928
45,before,45,3,9.91676148517502
46,the,2583,25,3.506168537887768
47,days,21,2,11.10161000218747
48,of,1430,9,2.076496465704999
49,the,2583,25,3.506168537887768
50,lovers,2,1,16.61012443758778
51,had,666,2,-0.38152218599325527
52,no,187,1,1.5353428488452
53,place,14,1,10.145950843314477
54,before,45,3,9.91676148517502
55,the,2583,25,3.506168537887768
56,days,21,2,11.10161000218747
57,of,1430,9,2.076496465704999
58,the,2583,25,3.506168537887768
59,.,3702,9,-1.0833174517799782
60,that,751,4,1.5220462543286672
61,is,248,4,5.202665865524856
62,the,2583,25,3.506168537887768
63,to,1337,1,-4.999138726349936
64,any,51,1,5.851467497036605
65,criticism,1,1,18.912709530581825
66,of,1430,9,2.076496465704999
67,the,2583,25,3.506168537887768
68,.,3702,9,-1.0833174517799782
"69,"""

",1581,3,-1.906480047911219
70,the,2583,25,3.506168537887768
71,highest,4,2,16.61012443758778
72,the,2583,25,3.506168537887768
73,highest,4,2,16.61012443758778
74,terrace,7,2,14.75112102930257
75,of,1430,9,2.076496465704999
76,the,2583,25,3.506168537887768
77,is,248,4,5.202665865524856
78,a,1350,4,-0.4261124943528378
79,splendid,5,1,13.566272512290121
80,expanse,1,1,18.912709530581825
81,choice,3,1,15.263198503466725
82,of,1430,9,2.076496465704999
83,benches,1,1,18.912709530581825
84,in,869,8,3.339837554002006
85,a,1350,4,-0.4261124943528378
86,he,1258,1,-4.796816231187224
87,will,58,1,5.424209816158649
88,always,37,1,6.917499868236943
89,select,1,1,18.912709530581825
90,not,396,1,-0.9571183849429702
91,excite,1,1,18.912709530581825
92,attention,5,1,13.566272512290121
93,throughout,3,1,15.263198503466725
94,the,2583,25,3.506168537887768
95,!,434,1,-1.261507728748446
96,then,152,1,2.2237396830252214
97,she,788,1,-3.242883552914666
98,had,666,2,-0.38152218599325527
99,before,45,3,9.91676148517502
100,the,2583,25,3.506168537887768
101,scene,9,1,11.613687476351625
102,on,353,1,-0.5752755255041714
103,the,2583,25,3.506168537887768
104,terrace,7,2,14.75112102930257
105,,"",3730,9,-1.1083482447672297"
106,mrs,188,1,1.5176258570098884
107,.,3702,9,-1.0833174517799782
108,'s,464,4,3.121624723164603
109,was,915,1,-3.7392658987604794
110,now,79,1,4.397717950326372
111,sharing,1,1,18.912709530581825
112,the,2583,25,3.506168537887768
113,bench,9,1,11.613687476351625
114,with,407,3,2.601375220045538
115,him,348,3,3.121624723164603
116,.,3702,9,-1.0833174517799782
117,i,825,1,-3.3953112084231902
118,'m,82,1,4.273905056813811
119,teaching,4,1,14.307539344593733
120,at,370,2,1.5710628499452375
121,the,2583,25,3.506168537887768
122,road,26,5,13.435984123364715
123,board,5,1,13.566272512290121
124,school,17,1,9.500978524151703
125,.,3702,9,-1.0833174517799782
126,the,2583,25,3.506168537887768
127,eastern,1,1,18.912709530581825
128,gates,3,1,15.263198503466725
129,of,1430,9,2.076496465704999
130,the,2583,25,3.506168537887768
131,.,3702,9,-1.0833174517799782
"132,"""""""",2849,1,-7.512309401342863"
133,what,208,1,1.1817918260908722
134,dost,5,1,13.566272512290121
135,her,544,2,0.29063815217551964
136,crushing,2,1,16.61012443758778
137,him,348,3,3.121624723164603
138,in,869,8,3.339837554002006
139,the,2583,25,3.506168537887768
"140,"","",3730,9,-1.1083482447672297"
141,and,1608,3,-1.962732291120701
142,the,2583,25,3.506168537887768
143,peril,2,1,16.61012443758778
144,there,167,1,1.9111020956549218
145,'s,464,4,3.121624723164603
146,one,167,1,1.9111020956549218
147,up,98,1,3.681777249041176
148,at,370,2,1.5710628499452375
149,-,764,7,3.3240382762085745
150,road,26,5,13.435984123364715
"151,"","",3730,9,-1.1083482447672297"
152,above,11,2,13.249658948269365
153,road,26,5,13.435984123364715
"154,"","",3730,9,-1.1083482447672297"
155,above,11,2,13.249658948269365
156,th,34,1,7.198393431157657
157,',171,1,1.832472907777161
"158,"","",3730,9,-1.1083482447672297"
159,semi,5,2,15.868857605284166
160,-,764,7,3.3240382762085745
161,detached,5,2,15.868857605284166
162,in,869,8,3.339837554002006
163,a,1350,4,-0.4261124943528378
164,poky,3,1,15.263198503466725
165,house,73,1,4.66011177305625
166,in,869,8,3.339837554002006
167,-,764,7,3.3240382762085745
168,road,26,5,13.435984123364715
169,-,764,7,3.3240382762085745
170,the,2583,25,3.506168537887768
171,water,17,1,9.500978524151703
"172,"","",3730,9,-1.1083482447672297"
173,which,168,1,1.8912696302112857
174,diversified,1,1,18.912709530581825
175,the,2583,25,3.506168537887768
176,-,764,7,3.3240382762085745
177,like,116,1,3.121624723164603
178,splendours,1,1,18.912709530581825
179,of,1430,9,2.076496465704999
180,and,1608,3,-1.962732291120701
181,her,544,2,0.29063815217551964
182,sunshade,5,1,13.566272512290121
183,in,869,8,3.339837554002006
184,the,2583,25,3.506168537887768
185,.,3702,9,-1.0833174517799782
"186,"""

",1581,3,-1.906480047911219
187,that,751,4,1.5220462543286672
188,is,248,4,5.202665865524856
189,and,1608,3,-1.962732291120701
190,immediately,4,1,14.307539344593733
191,behind,20,1,8.961102326302028
192,him,348,3,3.121624723164603
193,the,2583,25,3.506168537887768
194,,"",3730,9,-1.1083482447672297"
195,with,407,3,2.601375220045538
196,the,2583,25,3.506168537887768
197,bowling,15,1,9.91676148517502
198,semi,5,2,15.868857605284166
199,-,764,7,3.3240382762085745
200,detached,5,2,15.868857605284166
201,villa,1,1,18.912709530581825
202,in,869,8,3.339837554002006
203,-,764,7,3.3240382762085745
204,road,26,5,13.435984123364715
"205,"","",3730,9,-1.1083482447672297"
